,Model,Epoch,Testset,Loss,Accuracy,Original_Accuracy,Original_CI,Unnamed: 0
0,resnet_basic_32_ra_2_20,200,cifar10,1.4212,0.7254,92.5,"(92.0, 93.0)",
1,resnet_basic_32_ra_2_20,100,cifar10,1.6066,0.7281,92.5,"(92.0, 93.0)",
2,resnet_basic_32_ra_2_20,200,cifar10.1,2.5458,0.5505,84.9,"(83.2, 86.4)",
3,resnet_basic_32_ra_2_20,100,cifar10.1,1.9095,0.549,84.9,"(83.2, 86.4)",
4,resnet_basic_32_ra_2_20_refined200,250,cifar10,0.4312,0.8691,92.5,"(92.0, 93.0)",
5,resnet_basic_32_ra_2_20_refined100,350,cifar10,0.3978,0.87,92.5,"(92.0, 93.0)",
6,resnet_basic_32_ra_2_20_refined200,250,cifar10.1,0.7625,0.763,84.9,"(83.2, 86.4)",
7,resnet_basic_32_ra_2_20_refined100,350,cifar10.1,0.7138,0.77,84.9,"(83.2, 86.4)",
0,resnet_basic_32_ra_2_20,400,cifar10,1.7503,0.7241,92.5,"(92.0, 93.0)",0.0
1,resnet_basic_32_ra_2_20,300,cifar10,1.6118,0.7259,92.5,"(92.0, 93.0)",1.0
2,resnet_basic_32_ra_2_20,400,cifar10.1,3.1568,0.5375,84.9,"(83.2, 86.4)",2.0
3,resnet_basic_32_ra_2_20,300,cifar10.1,3.0469999999999997,0.5265,84.9,"(83.2, 86.4)",3.0
4,resnet_basic_32_ra_2_20_refined400,50,cifar10,0.4279,0.867,92.5,"(92.0, 93.0)",4.0
5,resnet_basic_32_ra_2_20_refined300,150,cifar10,0.4342,0.8740000000000001,92.5,"(92.0, 93.0)",5.0
6,resnet_basic_32_ra_2_20_refined400,50,cifar10.1,0.8061,0.7645,84.9,"(83.2, 86.4)",6.0
7,resnet_basic_32_ra_2_20_refined300,150,cifar10.1,0.7919,0.7635,84.9,"(83.2, 86.4)",7.0
